state,action,q_value
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",1,-0.9999500200419471
"[['X' 'O' 'X']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,-0.9912720364319122
"[['X' 'O' 'X']
 ['O' '.' '.']
 ['X' 'O' '.']]",2,-0.8499053647030009
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",2,-0.9999444667132745
"[['X' 'O' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",1,-0.9817519963685992
"[['X' 'O' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",1,-0.9999704873345693
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' '.' '.']]",2,-5.935348418014166
"[['X' 'O' '.']
 ['X' 'O' 'X']
 ['O' '.' '.']]",0,-0.9999635646105794
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",1,-5.890511978211596
"[['X' 'O' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",2,-5.569261207384888
"[['X' 'O' 'O']
 ['X' '.' '.']
 ['O' 'X' '.']]",2,-5.990296144380462
"[['X' 'O' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",0,-0.68618940391
"[['X' 'O' '.']
 ['O' '.' '.']
 ['X' 'O' 'X']]",0,-0.5695327900000001
"[['X' 'X' 'O']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,-0.9721871610556306
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['.' '.' '.']]",2,-0.717570463519
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['X' 'O' '.']]",2,-0.6125795110000001
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['O' 'X' '.']]",2,-0.68618940391
"[['X' 'X' '.']
 ['O' 'O' '.']
 ['O' 'X' '.']]",1,-0.5217031000000001
"[['X' '.' '.']
 ['O' 'X' 'X']
 ['O' 'O' '.']]",0,-0.5217031000000001
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' '.' '.']]",2,-0.9880274848174379
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' '.' '.']]",0,-0.997534965295042
"[['X' '.' '.']
 ['O' 'O' 'X']
 ['X' 'O' '.']]",2,-0.9835767967317393
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'X' 'O']]",0,-0.9866972053527088
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'O' 'X']]",1,-0.9866972053527088
"[['X' '.' '.']
 ['O' 'O' '.']
 ['X' 'O' 'X']]",0,-0.911370618803475
"[['X' 'X' 'O']
 ['.' '.' '.']
 ['O' 'X' 'O']]",1,-5.999993919770292
"[['X' 'X' 'O']
 ['X' '.' '.']
 ['O' 'O' '.']]",2,-5.957582097059094
"[['X' 'X' 'O']
 ['X' '.' '.']
 ['O' 'O' '.']]",1,-0.9353891811077333
"[['X' 'X' 'O']
 ['.' '.' '.']
 ['O' '.' '.']]",1,-5.996954827283663
"[['X' 'X' 'O']
 ['O' '.' '.']
 ['O' 'X' '.']]",2,-2.811354
"[['X' 'X' 'O']
 ['.' '.' '.']
 ['O' 'O' 'X']]",1,-3.675477066
"[['X' 'X' '.']
 ['.' '.' '.']
 ['O' 'O' '.']]",1,-0.40951000000000004
"[['X' 'X' '.']
 ['X' 'O' '.']
 ['O' 'O' '.']]",2,-0.9202335569231275
"[['X' 'X' '.']
 ['X' 'O' '.']
 ['O' 'O' '.']]",1,-0.9929303495098489
"[['X' '.' '.']
 ['X' 'O' 'X']
 ['O' 'O' '.']]",0,-0.9999550180377524
"[['X' '.' '.']
 ['X' 'O' 'X']
 ['O' 'O' '.']]",2,-0.9999550180377524
"[['X' '.' '.']
 ['X' 'O' '.']
 ['O' '.' '.']]",0,-0.9996300115149649
"[['X' '.' '.']
 ['X' 'O' 'O']
 ['O' 'X' '.']]",0,-0.9353891811077333
"[['X' 'X' '.']
 ['X' 'O' 'O']
 ['O' '.' '.']]",2,-0.5695327900000001
"[['X' '.' '.']
 ['X' 'X' 'O']
 ['O' 'O' '.']]",0,-0.9202335569231275
"[['X' '.' '.']
 ['X' '.' '.']
 ['O' 'O' '.']]",1,-0.9977814687655379
"[['X' '.' '.']
 ['X' '.' '.']
 ['O' 'O' '.']]",0,-0.9993038013908692
"[['X' '.' '.']
 ['X' 'O' '.']
 ['O' 'O' 'X']]",1,-0.9866972053527088
"[['X' '.' '.']
 ['X' 'O' '.']
 ['O' 'O' 'X']]",0,-0.9202335569231275
"[['X' 'O' '.']
 ['X' '.' '.']
 ['O' 'O' 'X']]",0,-0.46855900000000006
"[['X' 'O' 'O']
 ['.' '.' '.']
 ['O' 'X' 'X']]",1,-5.941813576212749
"[['X' '.' '.']
 ['O' 'O' '.']
 ['O' 'X' 'X']]",0,-0.8905810108684877
"[['X' '.' '.']
 ['X' 'O' '.']
 ['O' 'X' 'O']]",0,-0.9993038013908692
"[['O' 'X' 'O']
 ['X' 'O' '.']
 ['X' '.' '.']]",2,-0.9994924712139436
"[['O' 'X' '.']
 ['X' 'O' '.']
 ['X' 'O' '.']]",1,-5.901460780390437
"[['O' 'X' '.']
 ['X' 'O' '.']
 ['X' 'O' '.']]",0,-5.793978970782449
"[['O' 'X' '.']
 ['X' 'O' 'O']
 ['X' '.' '.']]",2,-0.9353891811077333
"[['O' 'X' 'X']
 ['X' 'O' '.']
 ['O' '.' '.']]",2,-5.4682237128208495
"[['O' 'X' '.']
 ['X' 'O' 'X']
 ['O' '.' '.']]",2,-5.965641498617866
"[['O' 'X' 'X']
 ['X' '.' '.']
 ['O' 'O' '.']]",1,-0.7712320754503901
"[['O' 'X' 'O']
 ['X' '.' '.']
 ['O' 'X' '.']]",2,-3.9079293594
"[['O' 'X' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",2,-4.4748805030026
"[['O' 'X' '.']
 ['X' 'O' '.']
 ['O' 'X' '.']]",1,-5.612335086646399
"[['O' 'X' '.']
 ['X' 'X' '.']
 ['O' 'O' '.']]",0,-0.6513215599000001
"[['O' 'X' '.']
 ['X' '.' '.']
 ['O' 'X' 'O']]",0,-2.4570600000000002
"[['O' 'O' '.']
 ['X' 'X' '.']
 ['.' '.' '.']]",2,-0.1
"[['O' 'O' '.']
 ['X' 'X' 'O']
 ['X' '.' '.']]",2,-0.19
"[['O' 'O' 'X']
 ['X' 'O' '.']
 ['X' '.' '.']]",2,-0.8784233454094308
